conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotion,emotional_polarity,self_disclosure,empathy_mean,self_disclosure_mean,fact_type,question_type,feeling_direction,agree_type,da,da_category
1,0,Person 1,what did you think about this article,"('qo',)",0.641169608,0.750834525,0.797380924,0.952209175,2.453644663,2.097310624,no,qo,no,no,qo,question
1,1,Person 2,"It's definitely really sad to read, considering everything they're all going through. What did you think?","('qo',)",3.284305811,3.051265478,1.664618015,1.834398627,2.453644663,2.097310624,no,qo,no,no,qo,question
1,2,Person 1,"I think it's super sad... they seem to never catch a break, always struggling.","('sv',)",3.78543973,3.304564238,1.897160411,2.250719309,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,3,Person 2,I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.,"('sv',)",3.26647687,3.538984537,1.735969901,2.96285367,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,4,Person 1,Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em,"('aa', 'sv')",3.810993671,3.729699373,1.906989694,2.85010767,2.453644663,2.097310624,opinion,no,no,accept,aa,agreement
1,5,Person 2,"It also seems unnecessary for there to even be such a gap. With all of the wealthy countries out there, I hope Haiti gets the help it deserves, because we, and other countries, can certainly afford it.","('sv',)",2.922741652,2.522697449,1.325817108,2.450405121,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,6,Person 1,"Agreed... with how frivilous and unnessary our spending is, it's so sad that countries like that don't get more support or guidance.","('aa', 'sv')",3.215591192,3.317415476,1.759940267,2.403116465,2.453644663,2.097310624,opinion,no,no,accept,aa,agreement
1,7,Person 2,"It's disheartening, isn't it? Places have the ability, money, time, and knowledge, and still refuse to help.","('sv',)",3.504567623,3.703161955,1.945721388,2.512881756,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,8,Person 1,"It is so sad... Or even the millionaires/billionaires out there. I know some of them donate, but at some point, you can only spend so much money. Why not put it to use.",(),3.378484488,3.364578724,1.743263245,2.356126308,2.453644663,2.097310624,opinion,no,no,no,none,others
1,9,Person 2,"Yep, exactly. It's just very frustrating overall. I think it's hard for others because they don't understand until their houses are being swept away for torrential floods.","('aa', 'sv')",3.638015032,3.350663185,1.735405445,2.648790836,2.453644663,2.097310624,opinion,no,no,accept,aa,agreement
1,10,Person 1,"It is hard to fathom/process, it's hard for me to really imagine","('sv',)",3.686388254,3.490361691,1.964580178,2.54090333,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,11,Person 2,"Give it twenty more years, for the more compassionate people to come into leadership. I think we'll see a big difference.","('sv',)",2.650959492,2.495430946,0.599840343,2.323812246,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,12,Person 1,I think that is a fair statement... the new generation seems more caring and compassionate and willing to help,"('aa',)",2.608359814,1.959701657,0.377845675,2.114084244,2.453644663,2.097310624,no,no,no,accept,aa,agreement
1,13,Person 2,"I know it sounds cold, but the older generation either doesn't care, or doesn't want to understand. Trust me, we'll see some major change soon enough.","('sv',)",2.429044485,2.717052698,1.412276864,2.542410135,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,14,Person 1,"I totally agree... I know there are some out there that care, but the majority, and the ones in charge, really don't seem to","('aa',)",2.403897524,2.632120848,1.690035462,2.332640409,2.453644663,2.097310624,no,no,no,accept,aa,agreement
1,15,Person 2,"Well, it was really great talking to you. I can't think of anything else to say about the topic. goodbye","('fc',)",1.15081501,1.674237609,0.419851959,1.074422836,2.453644663,2.097310624,no,no,forward,no,fc,forward
1,16,Person 1,we don't have enough lines yet,(),1.136405468,1.380978942,1.19150424,1.324442387,2.453644663,2.097310624,opinion,no,no,no,none,others
1,17,Person 2,"I apologize, I thought we did! I'm obviously a winner at counting. Hurricane Matthew was two years ago, wasn't it?","('qy',)",1.431979895,2.121694565,0.903324902,2.230053425,2.453644663,2.097310624,no,qy,no,no,qy,question
1,18,Person 1,"Haha no worries, we should be there now. That sounds about right to me, crazy, time flies, seems like I was just hearing about it","('sv',)",1.774659991,1.882423162,0.763505399,1.897909045,2.453644663,2.097310624,opinion,no,no,no,sv,statement
1,19,Person 2,"I think I recall it spawning a second hurricane, too, but it calmed down before being too bad. Yeah, I was definitely a few lines off lol","('aa',)",1.816307306,1.785930991,1.270504951,2.189599752,2.453644663,2.097310624,no,no,no,accept,aa,agreement
1,20,Person 1,I kinda remember that too...Well it has been great talking to you! bye :),"('fc',)",0.802917957,1.784439087,0.198010206,1.360272408,2.453644663,2.097310624,no,no,forward,no,fc,forward
1,21,Person 2,take care! goodbye,"('fc',)",0.640661716,1.318623424,0.542077422,0.988674581,2.453644663,2.097310624,no,no,forward,no,fc,forward
2,0,Person 1,I feel very sad for the people.,(),3.948457003,3.621449471,1.931891084,2.732659578,2.514327435,2.0921847,opinion,no,no,no,none,others
2,1,Person 2,It's terrible. Not only the people but the animals as well!,"('sv',)",3.788600206,3.814669132,2.062703371,2.186335325,2.514327435,2.0921847,opinion,no,no,no,sv,statement
2,2,Person 1,"Yeah, the whole situation is horrible.","('aa',)",3.682779074,3.789621115,1.843500257,2.11167264,2.514327435,2.0921847,no,no,no,accept,aa,agreement
2,3,Person 2,I really wish there was something i could do.,"('sd',)",3.004966259,3.142503977,1.358322024,2.67514205,2.514327435,2.0921847,fact,no,no,no,sd,statement
2,4,Person 1,"I know we can donate, but it's hard to know exactly how the money is used.","('sv',)",2.623729706,1.959720969,1.109952569,1.981048465,2.514327435,2.0921847,opinion,no,no,no,sv,statement
